cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
primary,ood_high_concentration,high,ethyl_acetate,saturating_mobile,same_solvent,7,,,1.1264961548049088,0.1292193437479266,False,0.03714553821363
primary,ood_high_concentration,high,hexane,fixed_lld,same_solvent,12,1.0,,,,,
primary,ood_high_concentration,high,hexane,local_mean,same_solvent,12,,1.0472222222222223,,,,
primary,ood_high_concentration,high,hexane,scaled_lld,same_solvent,12,1.1041180269192046,,,,,
primary,ood_high_concentration,high,hexane,saturating_mobile,same_solvent,12,,,8.252967791461456,4.063866051223111,False,0.020047817604324933
primary,ood_high_concentration,high,toluene,fixed_lld,same_solvent,8,1.0,,,,,
primary,ood_high_concentration,high,toluene,local_mean,same_solvent,8,,0.20416666666666666,,,,
primary,ood_high_concentration,high,toluene,scaled_lld,same_solvent,8,1.0943785332360074,,,,,
primary,ood_high_concentration,high,toluene,saturating_mobile,same_solvent,8,,,0.25849730252656156,0.0035657013171551508,False,0.003684424528250943
including_summaries_sensitivity,grouped_cv,1,ethyl_acetate,fixed_lld,same_solvent,8,1.0,,,,,
including_summaries_sensitivity,grouped_cv,1,ethyl_acetate,local_mean,same_solvent,8,,1.0958333333333332,,,,
including_summaries_sensitivity,grouped_cv,1,ethyl_acetate,scaled_lld,same_solvent,8,0.26981515265780914,,,,,
including_summaries_sensitivity,grouped_cv,1,ethyl_acetate,saturating_mobile,same_solvent,8,,,2.4550777963014294,1.4548248197054308,False,0.1965728948558835
including_summaries_sensitivity,grouped_cv,1,hexane,fixed_lld,same_solvent,12,1.0,,,,,
including_summaries_sensitivity,grouped_cv,1,hexane,local_mean,same_solvent,12,,2.208888888888889,,,,
including_summaries_sensitivity,grouped_cv,1,hexane,scaled_lld,same_solvent,12,1.0478905659437772,,,,,
including_summaries_sensitivity,grouped_cv,1,hexane,saturating_mobile,same_solvent,12,,,3809.2674206854504,2943.0096156399113,False,0.06721250701813354
including_summaries_sensitivity,grouped_cv,1,toluene,fixed_lld,same_solvent,11,1.0,,,,,
including_summaries_sensitivity,grouped_cv,1,toluene,local_mean,same_solvent,11,,0.25159090909090903,,,,
including_summaries_sensitivity,grouped_cv,1,toluene,scaled_lld,same_solvent,11,0.00392087562369108,,,,,
including_summaries_sensitivity,grouped_cv,1,toluene,saturating_mobile,same_solvent,11,,,0.26407203857582284,0.002514910000108218,False,0.006298077819376442
including_summaries_sensitivity,grouped_cv,2,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,grouped_cv,2,ethyl_acetate,local_mean,same_solvent,7,,0.975952380952381,,,,
including_summaries_sensitivity,grouped_cv,2,ethyl_acetate,scaled_lld,same_solvent,7,0.3332333130756903,,,,,
