cohort,protocol,model,solvent,n,groups,group_weighted_rmse_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,ood_low_concentration,mean,all,42,9,1.1981548207524766,1.2175603694734585,1.2051298701298703,-48.22599949255741
including_summaries_sensitivity,ood_low_concentration,mean,ethyl_acetate,9,2,0.9098474251249097,0.9525334093505525,0.9394949494949496,-35.77955738677208
including_summaries_sensitivity,ood_low_concentration,mean,hexane,21,4,1.2630231643853984,1.2829036524427206,1.2801298701298702,-230.50555805684965
including_summaries_sensitivity,ood_low_concentration,mean,toluene,12,3,1.275881400094632,1.275881400094632,1.2731060606060607,-229.1106920422805
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,all,42,9,0.15044951565856624,0.16624769344956156,0.1383438226224834,0.08224915623923723
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,ethyl_acetate,9,2,0.12733208668328308,0.14126904062038098,0.1014201741622574,0.19101576976176982
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,hexane,21,4,0.19360977910670754,0.2065357713422813,0.19096758194186778,-5.000174775511111
including_summaries_sensitivity,ood_low_concentration,rf_log_interactions,toluene,12,3,0.08435955586228105,0.08435955586228105,0.0739449801587302,-0.005969364680975531
including_summaries_sensitivity,ood_low_concentration,rf_raw,all,42,9,0.15713323482846064,0.17453640623519662,0.14445581001339938,-0.011545900330772518
including_summaries_sensitivity,ood_low_concentration,rf_raw,ethyl_acetate,9,2,0.13800159938549136,0.15683308303122967,0.11119781685906689,0.002939700440632853
including_summaries_sensitivity,ood_low_concentration,rf_raw,hexane,21,4,0.20172951849391932,0.21521597556229055,0.19900113842506703,-5.51511897694493
including_summaries_sensitivity,ood_low_concentration,rf_raw,toluene,12,3,0.08435955586228105,0.08435955586228105,0.0739449801587302,-0.005969364680975531
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,all,42,9,0.8925772350353645,0.9523408065278998,0.8208220594130666,-29.116071719504685
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,ethyl_acetate,9,2,0.631455167914446,0.6736778939943441,0.6550659678750372,-17.39715458582176
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,hexane,21,4,1.2513992994203194,1.2643904865299243,1.2632825135463552,-223.8722047622078
including_summaries_sensitivity,ood_low_concentration,ridge_log_interactions,toluene,12,3,0.19041621079449442,0.19041621079449442,0.17083333333333336,-4.125355845685678
including_summaries_sensitivity,ood_low_concentration,ridge_raw,all,42,9,1.7563982662716588,1.8757463953351723,1.4832982488690665,-115.83199063079931
including_summaries_sensitivity,ood_low_concentration,ridge_raw,ethyl_acetate,9,2,0.6512867201520339,0.6933855475679966,0.6754268736314509,-18.489272807361537
including_summaries_sensitivity,ood_low_concentration,ridge_raw,hexane,21,4,2.591012965479074,2.611294969982578,2.6099439097206747,-958.1470675979311
including_summaries_sensitivity,ood_low_concentration,ridge_raw,toluene,12,3,0.14453637955356174,0.14453637955356174,0.11757187380696345,-1.9530481614616497
including_summaries_sensitivity,ood_low_concentration,saturating_mobile,all,42,9,0.24430453280725684,0.2230807825524347,0.1573808303656461,-0.6524862480301585
including_summaries_sensitivity,ood_low_concentration,saturating_mobile,ethyl_acetate,9,2,0.47149979627947974,0.43764966104826825,0.41339810740200783,-6.764245466454206
including_summaries_sensitivity,ood_low_concentration,saturating_mobile,hexane,21,4,0.12888712261153426,0.11168275619201078,0.09529580201122331,-0.7544685415648309
including_summaries_sensitivity,ood_low_concentration,saturating_mobile,toluene,12,3,0.09325710959142978,0.09325710959142978,0.07401667220861465,-0.22936285703946635
including_summaries_sensitivity,ood_low_concentration,scaled_lld,all,42,9,0.28690102589924843,0.2623300876427946,0.19731066472340622,-1.2851238551264883
including_summaries_sensitivity,ood_low_concentration,scaled_lld,ethyl_acetate,9,2,0.5315228909836488,0.4933991936372135,0.46951300013614206,-8.868313435506987
including_summaries_sensitivity,ood_low_concentration,scaled_lld,hexane,21,4,0.12945520592961687,0.11219969215127211,0.09579748554414405,-0.7707476317965496
including_summaries_sensitivity,ood_low_concentration,scaled_lld,toluene,12,3,0.19038734141220404,0.19038734141220404,0.1708069767275632,-4.123801832611199
primary,grouped_cv,fixed_lld,all,126,36,15.207655181126409,16.991973128204773,5.112605177100942,-69.32428646348878
primary,grouped_cv,fixed_lld,ethyl_acetate,33,9,3.114414826213963,2.8212351279439942,1.6543590575741451,-18.18601710885142
primary,grouped_cv,fixed_lld,hexane,58,16,0.2967009249400992,0.2677253819844333,0.21177856171475326,0.9905294892879952
primary,grouped_cv,fixed_lld,toluene,35,11,27.364733806788017,32.121556895237276,16.49460705243761,-187095.3587665207
primary,grouped_cv,local_mean,all,126,36,2.527838495786455,2.1086626171832323,1.3404191054389467,-0.08300860384224551
primary,grouped_cv,local_mean,ethyl_acetate,33,9,0.7808060913199759,0.7770746572456316,0.6034451659451661,-0.45556549900678256
primary,grouped_cv,local_mean,hexane,58,16,3.7455994871532106,3.0515308789870685,2.5276348364279397,-0.23035331551558103
primary,grouped_cv,local_mean,toluene,35,11,0.08509723171315592,0.08281916629205224,0.06789417989417991,-0.24375222393354967
primary,grouped_cv,mean,all,126,36,2.6779213701031446,2.0456996401278014,1.2410356145605221,-0.019298644549024857
primary,grouped_cv,mean,ethyl_acetate,33,9,0.6453292687695507,0.6255575209975391,0.4683716874004691,0.05671970578367691
primary,grouped_cv,mean,hexane,58,16,3.9006719088598216,2.8745427009242865,1.8268342056112306,-0.09177170505068077
primary,grouped_cv,mean,toluene,35,11,0.9987971349723125,1.0018322975445269,0.998795366427399,-180.9961575128927
primary,grouped_cv,rf_log_interactions,all,126,36,1.4011347837786927,1.2610265850963878,0.6323671561521524,0.6126833256414448
primary,grouped_cv,rf_log_interactions,ethyl_acetate,33,9,0.6042468447500602,0.5485764996111857,0.34048718649616383,0.2745948075343688
primary,grouped_cv,rf_log_interactions,hexane,58,16,1.6045379212350348,1.098068692130804,0.5596445519166992,0.8406862265395236
primary,grouped_cv,rf_log_interactions,toluene,35,11,1.5431883543763518,1.8554862191408765,1.0280800145608358,-623.2917962936805
primary,grouped_cv,rf_raw,all,126,36,0.9447572293387747,0.7047199772828404,0.3887184061577234,0.8790374662810494
primary,grouped_cv,rf_raw,ethyl_acetate,33,9,0.5478716881566528,0.49780942683400164,0.36214350175077453,0.40264501151595977
primary,grouped_cv,rf_raw,hexane,58,16,1.3393625409264491,0.9439916567177702,0.5141808969166399,0.8822582144307328
primary,grouped_cv,rf_raw,toluene,35,11,0.257371551232096,0.2783916677290677,0.20586547419807097,-13.05350417574904
primary,grouped_cv,ridge_log_interactions,all,126,36,1.7155661797016801,1.3473765242219897,0.8096491149012621,0.5578234960637795
primary,grouped_cv,ridge_log_interactions,ethyl_acetate,33,9,0.7160362761286189,0.7045300034064156,0.5434848515825613,-0.19647946073777112
primary,grouped_cv,ridge_log_interactions,hexane,58,16,2.4040470239522644,1.7012030929980289,1.0235072947842943,0.6176099059786341
primary,grouped_cv,ridge_log_interactions,toluene,35,11,0.8979055618055485,1.1276532333337794,0.706210436509869,-229.5808844431221
primary,grouped_cv,ridge_raw,all,126,36,2.5743573814431677,2.138660650269423,1.325107210929311,-0.1140417499213513
primary,grouped_cv,ridge_raw,ethyl_acetate,33,9,0.5723903437522411,0.5932702224009649,0.4979946339933108,0.1515790904889811
primary,grouped_cv,ridge_raw,hexane,58,16,3.688145772354459,2.813968426853784,2.060426447128467,-0.04624343631660799
primary,grouped_cv,ridge_raw,toluene,35,11,1.2790617735209788,1.7355467175194057,0.8864271920532241,-545.1913006465998
primary,grouped_cv,saturating_mobile,all,126,36,0.41629457147707477,0.3981625279245221,0.275034711647564,0.9613865612924603
primary,grouped_cv,saturating_mobile,ethyl_acetate,33,9,0.727683406116057,0.6820562783863404,0.5881996243603064,-0.12136419225856798
primary,grouped_cv,saturating_mobile,hexane,58,16,0.29439581232617235,0.2742916800433858,0.21989084831026395,0.990059240314586
primary,grouped_cv,saturating_mobile,toluene,35,11,0.08864206051364089,0.08617245645866199,0.07114619604878988,-0.3465085275692752
primary,grouped_cv,scaled_lld,all,126,36,0.3643823619634699,0.35627330507027105,0.27608958268097145,0.9690839305330667
primary,grouped_cv,scaled_lld,ethyl_acetate,33,9,0.5886777590899077,0.5732730496839599,0.5111514559404213,0.20781007830698395
primary,grouped_cv,scaled_lld,hexane,58,16,0.2815367763126015,0.2614740783831921,0.21675767695120451,0.9909665927939505
primary,grouped_cv,scaled_lld,toluene,35,11,0.1889688205341805,0.1838240051298689,0.15278126024567573,-5.127405331270787
primary,leave_one_solvent_out,fixed_lld,all,126,36,15.207655181126409,16.991973128204776,5.112605177100942,-69.32428646348883
primary,leave_one_solvent_out,fixed_lld,ethyl_acetate,33,9,3.114414826213963,2.8212351279439942,1.6543590575741451,-18.186017108851416
primary,leave_one_solvent_out,fixed_lld,hexane,58,16,0.2967009249400992,0.2677253819844333,0.21177856171475326,0.9905294892879952
primary,leave_one_solvent_out,fixed_lld,toluene,35,11,27.364733806788017,32.121556895237276,16.494607052437605,-187095.3587665207
primary,leave_one_solvent_out,local_mean,all,126,36,3.0042238096173204,2.360273852263438,1.550079365079365,-0.3568833067638031
primary,leave_one_solvent_out,local_mean,ethyl_acetate,33,9,0.8960950952622642,0.9564276747327201,0.8918181818181818,-1.205009831958518
primary,leave_one_solvent_out,local_mean,hexane,58,16,4.142681411571227,3.036042899963941,1.6663908045977014,-0.21789574668641465
