cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
primary,leave_one_solvent_out,toluene,ridge_log_interactions,mobile_nm,91,35,25,11,0.6857142857142857,1.5421349877994084,5.463913084225312,3.2542861220814587,-5412.519759186674
primary,leave_one_solvent_out,toluene,rf_raw,bonded_nm,91,35,25,11,0.7714285714285715,0.47112206709956744,0.16780906991336714,0.1494976135029772,-0.9995280450299646
primary,leave_one_solvent_out,toluene,rf_raw,mobile_nm,91,35,25,11,0.6857142857142857,1.0636787590068664,2.9646946005253625,1.7572206635325471,-1592.793629155174
primary,leave_one_solvent_out,toluene,rf_log_interactions,bonded_nm,91,35,25,11,0.6857142857142857,0.40339373376623405,0.22973034815398533,0.19062481057038203,-2.7474287188218964
primary,leave_one_solvent_out,toluene,rf_log_interactions,mobile_nm,91,35,25,11,0.6857142857142857,1.3391364551718141,5.086452082090135,2.951062769619269,-4690.39582119484
primary,ood_low_concentration,low,mean,bonded_nm,87,39,27,9,0.8205128205128205,0.4896428571428574,0.14010593005412142,0.12509283819628644,-0.3743408590735986
primary,ood_low_concentration,low,mean,mobile_nm,87,39,27,9,1.0,6.0,1.3705285927092654,1.3590008841732977,-58.696026549931794
primary,ood_low_concentration,low,ridge_raw,bonded_nm,87,39,27,9,0.6923076923076923,0.3150783135775015,0.16112325174100403,0.1248700157867611,-0.8175980982064377
primary,ood_low_concentration,low,ridge_raw,mobile_nm,87,39,27,9,1.0,5.04571813241073,1.938306796094519,1.592941666579132,-118.4027312046489
primary,ood_low_concentration,low,ridge_log_interactions,bonded_nm,87,39,27,9,0.5641025641025641,0.27653628021885257,0.13193324017013489,0.10169565797640315,-0.21868055135162967
primary,ood_low_concentration,low,ridge_log_interactions,mobile_nm,87,39,27,9,1.0,3.5100754142914434,0.9244193631768804,0.8137891497915666,-26.158594544426023
primary,ood_low_concentration,low,rf_raw,bonded_nm,87,39,27,9,0.7692307692307693,0.21710494116994078,0.14510344691782875,0.10879354340104336,-0.4741337241815127
