cohort,protocol,model,target,n,groups,rmse_nm,mae_nm,r2,group_weighted_rmse_nm,descriptive_rmse_p025,descriptive_rmse_p975,row_coverage_80,group_simultaneous_coverage_80,mean_width_nm
primary,grouped_cv,rf_raw,bonded_nm,126,36,0.10599517036003785,0.08191438650084482,0.5677959041617202,0.10634482705976187,0.07996519026373268,0.12966222663965732,0.8968253968253969,0.8611111111111112,0.3520753113024541
primary,grouped_cv,rf_raw,mobile_nm,126,36,0.7047199772828404,0.3887184061577234,0.8790374662810494,0.9447572293387747,0.43514347984026364,1.4384455907263625,0.873015873015873,0.8333333333333334,1.7218479694697095
primary,grouped_cv,ridge_log_interactions,bonded_nm,126,36,0.1287365601986253,0.10287628602625477,0.3624407878912418,0.12352644531909036,0.09443982860463489,0.15190423623456992,0.7301587301587301,0.75,0.34792393055057924
primary,grouped_cv,ridge_log_interactions,mobile_nm,126,36,1.3473765242219897,0.809649114901262,0.5578234960637795,1.7155661797016801,0.6680926320191267,2.637616253615831,0.7857142857142857,0.75,2.464713477493363
primary,grouped_cv,ridge_raw,bonded_nm,126,36,0.17561710851123707,0.13443110605587608,-0.18645253463160905,0.17010655491335985,0.12286859685132416,0.21520671168704977,0.6825396825396826,0.6944444444444444,0.3429608403484311
primary,grouped_cv,ridge_raw,mobile_nm,126,36,2.138660650269423,1.325107210929311,-0.1140417499213513,2.5743573814431677,1.1630681447417257,3.830208968365283,0.753968253968254,0.8055555555555556,3.7424479715908086
primary,leave_one_solvent_out,mean,bonded_nm,126,36,0.1619300966152174,0.12404308952696048,-0.008722884926524399,0.166465076799869,0.11406685001181338,0.22150053059490774,0.8174603174603174,0.7777777777777778,0.7042997557997561
primary,leave_one_solvent_out,mean,mobile_nm,126,36,2.2179192345160863,1.2909430902220278,-0.19814440405283462,2.891560496641449,1.2844938810435413,4.315326107934802,0.9126984126984127,0.8611111111111112,3.2998534798534798
primary,leave_one_solvent_out,rf_log_interactions,bonded_nm,126,36,0.21993366540455725,0.18245894988609274,-0.8608019317203224,0.22742190941271712,0.1838909860556224,0.26974776993617905,0.8333333333333334,0.8055555555555556,0.5671441979030672
primary,leave_one_solvent_out,rf_log_interactions,mobile_nm,126,36,3.2788953183482334,1.6127366325176147,-1.6186220014789408,3.63323894898247,2.1840954786918907,4.911654488355221,0.7857142857142857,0.75,3.08954211372622
primary,leave_one_solvent_out,rf_raw,bonded_nm,126,36,0.2042853074324968,0.17066505965083523,-0.6054285754099678,0.21027654556186992,0.16822305929895642,0.25152716841148015,0.8492063492063492,0.8333333333333334,0.5737297072779517
primary,leave_one_solvent_out,rf_raw,mobile_nm,126,36,2.4445697050524626,1.2557218985797511,-0.4555346878600055,2.927666152310323,1.622538310502676,4.143618165482088,0.7142857142857143,0.6666666666666666,2.4361931248293165
primary,leave_one_solvent_out,ridge_log_interactions,bonded_nm,126,36,0.25002991565514227,0.19302615265034115,-1.4049202130184972,0.26056127174196964,0.2011452749995499,0.31496328628433473,0.6587301587301587,0.6111111111111112,0.6101310284447992
primary,leave_one_solvent_out,ridge_log_interactions,mobile_nm,126,36,3.5903562006441403,1.9647238079027505,-2.1397334771828156,3.9277632050850104,2.3482309458931065,5.325667162924175,0.7142857142857143,0.6666666666666666,2.070636815545828
primary,leave_one_solvent_out,ridge_raw,bonded_nm,126,36,0.44032934774590365,0.21414394497211242,-6.458851962403346,0.39489305936272656,0.14262869078649526,0.6005741567780442,0.6666666666666666,0.6388888888888888,0.688705729192591
primary,leave_one_solvent_out,ridge_raw,mobile_nm,126,36,7.236917957565419,2.849065066414689,-11.756308319482427,6.700462345427779,2.2117448522418646,10.072626095071328,0.8095238095238095,0.7777777777777778,2.5072535047970343
primary,ood_high_concentration,mean,bonded_nm,27,9,0.277671090623243,0.20888888888888885,-1.3038217500368892,0.27613812372522123,0.11243986395775547,0.3988560026188786,0.7037037037037037,0.6666666666666666,0.3785964912280701
primary,ood_high_concentration,mean,mobile_nm,27,9,4.283894184350968,2.843086419753086,-0.47016354098896196,5.386398737377756,1.9606434714409184,8.105155816387642,0.5185185185185185,0.4444444444444444,2.2199999999999998
primary,ood_high_concentration,rf_log_interactions,bonded_nm,27,9,0.16890040377995785,0.13006257201646068,0.14758925108467735,0.17362623118536477,0.0888853471159832,0.24329490220724448,0.7407407407407407,0.6666666666666666,0.36920674603174714
primary,ood_high_concentration,rf_log_interactions,mobile_nm,27,9,3.5319972862912787,2.8119988763962387,0.0006240335571063849,4.34244008301026,2.055827278506008,6.432019063038487,0.1111111111111111,0.1111111111111111,0.8811294047619036
primary,ood_high_concentration,rf_raw,bonded_nm,27,9,0.15359488796638512,0.09828431290417372,0.29507799971893234,0.15452068980350575,0.04211360330927954,0.2317095732647395,0.7777777777777778,0.7777777777777778,0.4005808333333335
primary,ood_high_concentration,rf_raw,mobile_nm,27,9,3.2430368698826166,2.379227242063492,0.15745724016858564,4.15718524617359,1.5115669977872028,6.38414241710574,0.14814814814814814,0.1111111111111111,1.9041521825396783
primary,ood_high_concentration,ridge_log_interactions,bonded_nm,27,9,0.39206078300368713,0.29460702871815775,-3.5929778158206442,0.33637041996176775,0.13937753877464107,0.4726807562607485,0.37037037037037035,0.3333333333333333,0.34586535101255333
primary,ood_high_concentration,ridge_log_interactions,mobile_nm,27,9,4.40014871925439,3.55033077995179,-0.5510396114703,4.4781947085664315,2.7290217943877146,5.829704539534546,0.07407407407407407,0.0,0.6540512640710178
primary,ood_high_concentration,ridge_raw,bonded_nm,27,9,1.6817900751854984,1.0978105541829155,-83.514477798579,1.3908906245647734,0.3293541033965007,2.0865339230086084,0.2222222222222222,0.1111111111111111,0.34020535560204157
